---------------------
  #    meV     cm^-1
---------------------
  0    6.9i     55.5i
  1    6.5i     52.5i
  2    2.4i     19.2i
  3    2.3i     18.2i
  4    0.6i      4.9i
  5    0.5i      4.4i
  6    0.4i      3.1i
  7    0.3i      2.2i
  8    0.0i      0.1i
  9    0.0i      0.1i
 10    0.0i      0.0i
 11    0.8       6.4
 12    1.2       9.9
 13    1.7      14.0
 14    2.2      17.7
 15    2.4      19.7
 16    2.5      20.0
 17    2.7      21.8
 18    2.9      23.2
 19    3.0      24.2
 20    3.4      27.2
 21    4.1      32.8
 22    4.3      35.1
 23    4.6      36.9
 24    6.1      49.5
 25    6.7      54.0
 26    7.0      56.1
 27    7.3      58.9
 28    7.6      61.1
 29    7.7      62.3
 30    7.9      63.6
 31    8.0      64.9
 32    8.3      67.3
 33    8.5      68.7
 34    9.0      72.6
 35    9.1      73.2
 36    9.9      80.2
 37   10.0      80.4
 38   10.9      87.5
 39   10.9      87.7
 40   11.6      93.5
 41   11.7      94.7
 42   12.4      99.9
 43   12.5     101.0
 44   13.0     104.6
 45   13.1     105.3
 46   13.3     107.5
 47   13.5     108.5
 48   14.1     113.6
 49   14.2     114.6
 50   14.3     115.3
 51   14.4     116.0
 52   15.1     121.8
 53   15.7     126.3
 54   15.9     128.4
 55   16.7     134.5
 56   16.8     135.4
 57   16.9     136.3
 58   17.1     137.8
 59   17.3     139.5
 60   17.6     142.1
 61   18.1     145.6
 62   19.0     152.9
 63   19.1     153.7
 64   19.6     157.8
 65   20.0     161.4
 66   20.2     162.5
 67   20.5     165.5
 68   21.1     170.2
 69   21.2     171.2
 70   22.0     177.8
 71   22.3     179.9
 72   22.5     181.6
 73   22.7     183.0
 74   23.3     188.1
 75   23.5     189.2
 76   24.3     195.8
 77   24.4     196.7
 78   24.6     198.7
 79   24.7     199.4
 80   25.0     201.5
 81   25.1     202.6
 82   25.6     206.2
 83   25.7     207.0
 84   26.9     217.3
 85   27.0     217.4
 86   28.9     233.2
 87   28.9     233.4
 88   29.8     240.3
 89   29.9     240.8
 90   31.6     255.1
 91   31.6     255.3
 92   32.2     259.9
 93   32.3     260.4
 94   33.2     267.7
 95   33.2     267.9
 96   33.8     272.9
 97   33.9     273.3
 98   34.9     281.8
 99   35.1     283.2
100   35.6     286.8
101   35.6     286.8
102   35.6     287.1
103   35.7     287.8
104   36.2     292.1
105   36.4     293.3
106   36.8     296.6
107   36.9     297.6
108   37.8     304.9
109   37.8     305.0
110   38.2     308.3
111   38.3     308.9
112   38.9     313.9
113   39.1     315.2
114   41.2     332.5
115   41.3     333.5
116   42.1     339.5
117   42.1     339.9
118   42.6     343.9
119   42.7     344.4
120   44.2     356.3
121   44.2     356.3
122   46.8     377.1
123   46.8     377.3
124   49.4     398.8
125   49.6     399.7
126   49.9     402.5
127   49.9     402.6
128   50.8     409.7
129   50.8     409.8
130   53.7     433.3
131   53.7     433.5
132   56.3     453.8
133   56.3     453.8
134   57.5     463.8
135   57.5     463.8
136   59.0     476.2
137   59.1     476.4
138   60.4     487.3
139   60.4     487.6
140   60.5     487.8
141   60.5     488.0
142   61.2     493.5
143   61.2     493.8
144   62.3     502.2
145   62.3     502.4
146   62.8     506.3
147   62.8     506.5
148   63.4     511.0
149   63.4     511.1
150   64.3     518.5
151   64.3     518.6
152   64.6     521.0
153   64.6     521.3
154   65.9     531.6
155   65.9     531.7
156   68.0     548.4
157   68.1     549.0
158   68.8     554.7
159   68.8     554.7
160   70.2     566.0
161   70.2     566.5
162   71.2     574.0
163   71.4     576.0
164   72.3     583.4
165   72.4     584.3
166   73.4     591.8
167   73.4     591.9
168   74.9     603.9
169   74.9     604.1
170   75.6     610.0
171   75.6     610.0
172   78.0     629.2
173   78.0     629.4
174   78.1     629.9
175   78.1     630.0
176   78.8     635.5
177   78.9     636.2
178   79.2     638.6
179   79.3     639.4
180   79.6     641.9
181   79.6     642.0
182   79.8     643.9
183   79.9     644.2
184   81.2     654.8
185   81.2     654.9
186   83.0     669.3
187   83.0     669.5
188   83.9     676.8
189   83.9     676.9
190   86.3     695.8
191   86.3     696.0
192   89.1     718.5
193   89.1     718.6
194   90.7     731.2
195   90.7     731.3
196   92.2     744.0
197   92.3     744.3
198   93.6     755.2
199   93.7     755.6
200   95.1     767.3
201   95.2     767.5
202   95.9     773.8
203   96.0     774.1
204  100.3     809.2
205  100.3     809.3
206  100.7     812.4
207  100.7     812.6
208  103.0     831.0
209  103.0     831.1
210  103.8     837.3
211  103.9     837.9
212  103.9     837.9
213  103.9     838.3
214  105.3     848.9
215  105.3     849.0
216  106.6     859.4
217  106.6     859.6
218  107.7     868.5
219  107.7     868.7
220  108.2     872.4
221  108.3     873.2
222  108.6     876.0
223  108.6     876.1
224  108.7     876.7
225  108.8     877.9
226  108.9     878.5
227  109.0     878.8
228  109.1     880.1
229  109.2     880.5
230  111.5     899.6
231  111.6     899.8
232  111.8     902.1
233  111.9     902.1
234  112.4     906.7
235  112.4     906.7
236  115.5     931.8
237  115.6     932.1
238  116.2     937.0
239  116.2     937.3
240  117.5     947.9
241  117.5     948.1
242  121.8     982.4
243  121.9     982.8
244  123.0     991.7
245  123.0     991.7
246  125.0    1008.1
247  125.0    1008.1
248  127.4    1027.5
249  127.4    1027.7
250  130.9    1056.2
251  131.0    1056.3
252  132.1    1065.2
253  132.1    1065.3
254  132.8    1071.5
255  132.9    1071.7
256  133.4    1075.8
257  133.4    1076.2
258  134.2    1082.1
259  134.3    1082.9
260  134.5    1085.2
261  134.6    1086.0
262  135.2    1090.3
263  135.3    1091.7
264  135.8    1095.0
265  135.8    1095.3
266  136.0    1096.6
267  136.0    1096.6
268  136.0    1097.1
269  136.1    1097.8
270  136.4    1100.0
271  136.7    1102.3
272  137.8    1111.0
273  137.8    1111.1
274  139.5    1125.1
275  139.5    1125.2
276  139.8    1127.3
277  139.8    1127.5
278  140.5    1133.5
279  140.5    1133.6
280  142.0    1144.9
281  142.0    1145.0
282  143.0    1153.7
283  143.1    1154.0
284  143.6    1158.5
285  143.7    1159.1
286  144.8    1167.7
287  144.8    1168.1
288  145.3    1171.7
289  145.3    1172.0
290  149.2    1203.3
291  149.2    1203.6
292  150.0    1210.2
293  150.1    1210.6
294  151.5    1221.7
295  151.5    1221.8
296  152.1    1226.6
297  152.1    1226.6
298  152.3    1228.0
299  152.3    1228.2
300  153.5    1238.3
301  153.5    1238.3
302  154.0    1242.4
303  154.1    1242.8
304  154.1    1243.2
305  154.3    1244.1
306  154.8    1248.3
307  154.8    1248.7
308  157.5    1270.5
309  157.5    1270.6
310  158.0    1274.4
311  158.0    1274.4
312  158.1    1275.5
313  158.2    1275.6
314  158.3    1276.5
315  158.3    1276.6
316  158.6    1279.2
317  158.6    1279.3
318  159.0    1282.5
319  159.1    1283.0
320  159.7    1288.5
321  159.8    1288.8
322  160.1    1291.0
323  160.1    1291.4
324  160.6    1295.2
325  160.7    1295.8
326  160.8    1296.9
327  160.8    1296.9
328  161.1    1299.6
329  161.2    1299.8
330  161.2    1300.2
331  161.2    1300.2
332  161.6    1303.4
