---------------------
  #    meV     cm^-1
---------------------
  0   29.2i    235.4i
  1   28.4i    229.2i
  2    9.7i     78.5i
  3    9.6i     77.3i
  4    8.6i     69.2i
  5    8.5i     68.9i
  6    6.3i     50.5i
  7    5.8i     46.6i
  8    5.3i     42.5i
  9    5.2i     42.1i
 10    4.0i     32.1i
 11    3.7i     29.9i
 12    3.5i     28.4i
 13    3.4i     27.1i
 14    2.7i     21.8i
 15    2.6i     21.4i
 16    2.0i     16.5i
 17    1.9i     15.0i
 18    1.6i     12.7i
 19    0.6i      5.2i
 20    0.3i      2.2i
 21    0.2i      1.3i
 22    0.0i      0.2i
 23    0.0i      0.1i
 24    0.0i      0.0i
 25    0.1       1.1
 26    0.3       2.3
 27    1.1       8.9
 28    1.6      12.8
 29    1.9      15.2
 30    1.9      15.6
 31    2.1      16.5
 32    2.9      23.3
 33    3.4      27.7
 34    3.9      31.3
 35    4.0      32.5
 36    4.3      34.5
 37    4.7      37.5
 38    4.9      39.5
 39    4.9      39.9
 40    5.0      40.5
 41    5.2      41.7
 42    5.7      46.3
 43    5.8      46.7
 44    6.1      49.2
 45    6.4      52.0
 46    6.5      52.2
 47    6.6      53.0
 48    7.1      57.4
 49    7.3      58.5
 50    8.3      66.8
 51    8.7      70.3
 52    9.5      76.4
 53    9.5      77.0
 54    9.7      78.5
 55    9.9      79.9
 56   10.3      83.1
 57   11.5      92.5
 58   11.8      95.4
 59   11.8      95.5
 60   12.2      98.6
 61   12.5     100.7
 62   12.5     101.0
 63   12.6     101.3
 64   12.7     102.6
 65   13.0     104.6
 66   13.2     106.2
 67   13.4     108.0
 68   13.8     111.4
 69   13.9     111.9
 70   14.9     120.5
 71   15.0     120.9
 72   15.7     126.3
 73   15.9     128.5
 74   16.3     131.6
 75   16.6     133.9
 76   17.0     136.9
 77   17.8     143.2
 78   17.8     143.5
 79   18.1     146.1
 80   18.4     148.0
 81   18.5     149.1
 82   18.7     150.5
 83   18.8     151.4
 84   19.6     158.1
 85   19.8     159.7
 86   20.1     161.9
 87   20.1     162.3
 88   21.0     169.4
 89   21.1     169.9
 90   22.1     178.3
 91   22.2     179.0
 92   22.2     179.4
 93   22.4     180.5
 94   22.7     183.4
 95   22.8     183.9
 96   23.1     186.7
 97   23.3     188.2
 98   23.4     189.1
 99   23.5     189.7
100   24.4     196.8
101   24.5     197.4
102   24.7     199.3
103   25.0     202.0
104   25.2     202.8
105   25.4     204.8
106   25.7     206.9
107   25.7     207.3
108   26.4     213.3
109   26.6     214.3
110   26.8     216.3
111   27.1     218.2
112   27.1     218.8
113   27.3     220.0
114   27.8     224.0
115   27.9     224.8
116   28.2     227.8
117   28.3     228.4
118   29.0     233.6
119   29.0     233.8
120   29.7     239.9
121   29.8     240.0
122   31.3     252.7
123   31.4     253.0
124   32.7     263.4
125   32.7     263.7
126   34.5     278.5
127   34.5     278.6
128   35.3     284.5
129   35.3     284.8
130   38.1     307.1
131   38.1     307.3
132   39.3     317.0
133   39.4     317.6
134   39.7     319.9
135   39.8     320.9
136   40.4     326.2
