---------------------
  #    meV     cm^-1
---------------------
  0    0.5i      4.1i
  1    0.4i      2.9i
  2    0.3i      2.4i
  3    0.0i      0.2i
  4    0.0i      0.1i
  5    0.0i      0.1i
  6    0.2       1.3
  7    0.6       4.8
  8    1.4      11.1
  9    1.9      15.6
 10    2.1      16.9
 11    2.5      19.8
 12    2.6      21.4
 13    3.1      24.8
 14    3.3      27.0
 15    3.9      31.4
 16    4.0      32.3
 17    4.1      33.1
 18    4.8      38.5
 19    5.3      42.8
 20    5.7      45.6
 21    5.9      47.9
 22    6.8      55.2
 23    7.3      58.9
 24    7.8      62.7
 25    7.9      63.7
 26    8.7      70.4
 27    9.0      72.9
 28   10.1      81.2
 29   10.2      82.5
 30   10.6      85.5
 31   10.8      86.7
 32   12.2      98.2
 33   12.2      98.7
 34   12.8     103.5
 35   13.2     106.8
 36   13.6     109.3
 37   13.6     110.0
 38   14.5     116.6
 39   14.5     117.2
 40   14.8     119.1
 41   14.9     120.2
 42   15.3     123.1
 43   15.5     125.2
 44   15.6     125.5
 45   16.1     129.8
 46   16.2     130.9
 47   16.3     131.4
 48   16.5     132.8
 49   16.5     133.5
 50   17.3     139.5
 51   17.9     144.6
 52   18.1     146.3
 53   18.5     149.0
 54   19.0     153.5
 55   19.5     157.6
 56   20.6     166.3
 57   21.0     169.1
 58   21.9     176.7
 59   22.3     179.8
 60   22.6     182.4
 61   22.8     183.8
 62   23.1     186.4
 63   23.6     190.1
 64   23.8     192.0
 65   24.1     194.3
 66   24.6     198.1
 67   24.7     199.3
 68   25.7     207.5
 69   25.8     208.3
 70   26.9     217.4
 71   27.0     218.1
 72   27.9     225.2
 73   28.1     226.6
 74   28.1     226.8
 75   28.7     231.7
 76   29.2     235.5
 77   29.3     236.0
 78   30.3     244.5
 79   30.7     247.2
 80   31.2     251.4
 81   31.3     252.2
 82   31.9     257.1
 83   32.0     258.1
 84   33.1     267.0
 85   33.2     267.8
 86   34.7     280.1
 87   34.8     280.5
 88   35.3     285.1
 89   35.4     285.5
 90   35.9     289.8
 91   36.0     290.1
 92   36.2     292.0
 93   36.5     294.3
 94   39.1     315.0
 95   39.4     317.4
 96   40.1     323.5
 97   40.2     324.2
 98   41.9     338.2
 99   42.1     339.8
100   44.2     356.8
101   44.4     358.1
102   45.3     365.6
103   45.6     367.6
104   46.0     370.9
105   46.0     370.9
106   47.2     380.9
107   47.3     381.6
108   47.8     385.4
109   48.0     387.5
110   49.1     396.1
111   49.3     397.7
112   49.5     399.5
113   49.5     399.6
114   50.3     405.7
115   50.4     406.6
116   50.6     408.5
117   51.3     413.8
118   53.2     428.8
119   53.2     428.9
120   55.8     449.9
121   56.2     453.5
122   59.8     482.5
123   59.8     482.5
124   60.6     488.9
125   60.6     488.9
126   60.8     490.5
127   61.0     491.8
128   61.4     494.9
129   61.6     496.8
130   63.8     514.2
131   64.1     516.8
132   66.1     532.9
133   66.2     533.8
134   67.3     543.0
135   67.4     543.3
136   69.1     557.5
137   69.1     557.6
138   69.7     561.9
139   69.7     562.1
140   71.0     572.4
141   71.0     572.6
142   74.1     597.7
143   74.2     598.8
144   74.8     603.7
145   74.9     604.4
146   75.3     607.2
147   75.3     607.7
148   75.9     612.0
149   76.0     613.1
150   77.0     621.0
151   77.1     621.7
152   81.0     652.9
153   81.0     653.1
154   81.1     654.1
155   81.1     654.3
156   82.3     664.1
157   82.6     666.3
158   83.1     670.3
159   83.2     670.7
160   84.9     684.4
161   84.9     684.7
162   87.3     704.5
163   87.4     704.7
164   89.2     719.6
165   89.2     719.8
166   90.3     728.4
167   90.3     728.7
168   93.3     752.7
169   93.4     753.5
170   94.5     762.4
171   94.6     762.8
172   97.6     786.8
173   97.6     787.6
174   98.1     790.9
175   98.1     791.0
176  100.0     806.7
