---------------------
  #    meV     cm^-1
---------------------
  0    4.7i     38.1i
  1    4.5i     36.5i
  2    1.7i     13.5i
  3    1.5i     12.2i
  4    0.5i      4.0i
  5    0.1i      0.8i
  6    0.0i      0.1i
  7    0.0i      0.1i
  8    0.0       0.1
  9    0.2       1.7
 10    0.7       5.8
 11    1.0       7.7
 12    1.1       8.8
 13    1.3      10.4
 14    1.6      13.0
 15    1.7      14.1
 16    2.1      16.7
 17    2.2      18.1
 18    2.6      21.4
 19    2.9      23.6
 20    3.2      26.0
 21    4.0      32.6
 22    4.3      34.9
 23    4.6      37.2
 24    6.3      51.2
 25    6.8      54.6
 26    6.9      56.0
 27    7.2      58.1
 28    7.7      62.2
 29    8.0      64.7
 30    8.3      67.3
 31    8.4      67.7
 32    8.6      69.5
 33    8.7      70.2
 34    9.1      73.4
 35    9.3      74.7
 36    9.5      77.0
 37    9.7      78.1
 38   10.2      82.2
 39   10.3      82.9
 40   11.1      89.7
 41   11.3      90.8
 42   12.4     100.3
 43   12.6     101.6
 44   12.9     104.3
 45   13.0     104.8
 46   13.2     106.1
 47   13.2     106.8
 48   14.4     116.3
 49   14.4     116.4
 50   14.6     118.1
 51   14.9     119.8
 52   15.5     124.9
 53   15.8     127.4
 54   16.5     132.8
 55   16.8     135.2
 56   16.8     135.8
 57   16.9     136.7
 58   17.2     138.4
 59   17.3     139.5
 60   18.2     146.9
 61   18.8     151.6
 62   19.1     154.0
 63   19.3     155.7
 64   19.6     158.2
 65   20.2     163.0
 66   20.3     164.1
 67   20.6     165.8
 68   21.2     170.8
 69   21.3     171.5
 70   22.0     177.6
 71   22.3     179.8
 72   22.9     184.7
 73   23.1     186.2
 74   23.4     188.7
 75   23.5     189.8
 76   24.3     195.7
 77   24.3     196.0
 78   24.6     198.2
 79   24.6     198.7
 80   25.1     202.4
 81   25.2     203.4
 82   25.5     206.0
 83   25.7     207.1
 84   26.9     217.3
 85   27.0     217.4
 86   28.9     232.9
 87   28.9     233.0
 88   29.7     239.7
 89   29.8     240.1
 90   31.2     251.7
 91   31.2     251.8
 92   32.2     259.6
 93   32.2     260.0
 94   33.0     266.5
 95   33.1     266.7
 96   33.8     272.3
 97   33.8     272.6
 98   34.9     281.8
 99   35.1     283.0
100   35.5     286.7
101   35.7     287.5
102   35.7     287.7
103   35.7     287.7
104   36.5     294.3
105   36.8     297.0
106   36.9     297.4
107   36.9     297.6
108   38.3     309.1
109   38.4     309.7
110   38.5     310.7
111   38.6     311.5
112   39.4     318.2
113   39.5     318.7
114   41.4     333.6
115   41.5     334.5
116   42.6     343.9
117   42.7     344.5
118   43.2     348.3
119   43.2     348.4
120   44.2     356.5
121   44.2     356.5
122   49.5     399.0
123   49.6     400.0
124   50.0     403.6
125   50.0     403.7
126   51.2     412.8
127   51.2     413.1
128   51.7     417.0
129   51.7     417.3
130   53.8     434.1
131   53.9     434.5
132   56.4     455.0
133   56.4     455.0
134   57.5     464.1
135   57.5     464.1
136   59.1     477.0
137   59.2     477.2
138   60.4     487.6
139   60.5     487.6
140   60.6     489.0
141   60.6     489.1
142   61.2     493.9
143   61.3     494.2
144   62.3     502.5
145   62.3     502.7
146   62.8     506.5
147   62.8     506.7
148   63.5     512.4
149   63.5     512.5
150   64.5     520.0
151   64.5     520.2
152   64.7     521.9
153   64.7     522.2
154   66.0     532.2
155   66.0     532.3
156   68.0     548.5
157   68.1     549.1
158   68.5     552.4
159   68.5     552.5
160   69.9     564.1
161   70.0     564.4
162   71.1     573.7
163   71.4     575.7
164   72.3     583.4
165   72.4     584.2
166   73.4     591.9
167   73.4     592.0
168   74.9     604.4
169   75.0     604.6
170   75.6     610.0
171   75.6     610.0
172   78.2     630.5
173   78.2     630.6
174   78.8     635.2
175   78.8     635.6
176   78.8     636.0
177   78.9     636.2
178   79.0     637.2
179   79.1     637.6
180   79.6     642.2
181   79.6     642.2
182   79.8     643.8
183   79.8     644.0
184   81.2     655.1
185   81.2     655.3
186   82.9     668.7
187   82.9     668.9
188   83.9     676.7
189   83.9     676.8
190   86.2     695.3
191   86.2     695.5
192   89.1     718.4
193   89.1     718.5
194   90.7     731.3
195   90.7     731.4
196   92.2     743.6
197   92.2     743.9
198   93.6     754.9
199   93.7     755.4
200   95.4     769.2
201   95.4     769.4
202   95.7     771.8
203   95.7     772.0
204  100.5     810.3
205  100.5     810.4
206  100.8     812.9
207  100.8     813.0
208  103.0     830.5
209  103.0     830.6
210  103.8     837.2
211  103.9     838.2
212  104.3     841.3
213  104.3     841.4
214  105.4     849.8
215  105.4     849.9
216  106.7     860.6
217  106.7     860.8
218  107.9     870.4
219  107.9     870.6
220  108.3     873.6
221  108.4     874.3
222  108.8     877.2
223  108.8     877.5
224  108.9     878.2
