      Step     Time          Energy          fmax
BFGS:    0 23:34:51     -972.108141        0.842125
BFGS:    1 23:34:54     -972.264485        0.292203
BFGS:    2 23:34:56     -972.309985        0.251825
BFGS:    3 23:34:58     -972.388149        0.484278
BFGS:    4 23:35:00     -972.418195        0.743557
BFGS:    5 23:35:02     -972.444632        0.249754
BFGS:    6 23:35:04     -972.461415        0.112207
BFGS:    7 23:35:13     -972.469132        0.140081
BFGS:    8 23:35:18     -972.479230        0.184192
BFGS:    9 23:35:20     -972.488814        0.192288
BFGS:   10 23:35:22     -972.499175        0.232691
BFGS:   11 23:35:24     -972.509660        0.251331
BFGS:   12 23:35:26     -972.521400        0.133416
BFGS:   13 23:35:29     -972.534543        0.104646
BFGS:   14 23:35:32     -972.543230        0.104640
BFGS:   15 23:35:35     -972.551136        0.091568
BFGS:   16 23:35:38     -972.558590        0.101452
BFGS:   17 23:35:41     -972.567161        0.105722
BFGS:   18 23:35:45     -972.575693        0.103686
BFGS:   19 23:35:49     -972.582815        0.079119
BFGS:   20 23:35:52     -972.588189        0.091794
BFGS:   21 23:35:56     -972.592821        0.073801
BFGS:   22 23:35:58     -972.597446        0.070640
BFGS:   23 23:36:01     -972.602021        0.067071
BFGS:   24 23:36:05     -972.606182        0.094187
BFGS:   25 23:36:07     -972.609833        0.079025
BFGS:   26 23:36:10     -972.613116        0.055281
BFGS:   27 23:36:12     -972.616135        0.051319
BFGS:   28 23:36:15     -972.618933        0.087443
BFGS:   29 23:36:19     -972.621501        0.085187
BFGS:   30 23:36:21     -972.623865        0.046947
